Player,Game,FPTS  Fantasy Points,ATT  Rushing Attempts,YDS  Rushing Yards,TD  Rushing Touchdowns,REC  Receptions,YDS  Receiving Yards,TGT  Targets,TD  Receiving Touchdowns,Week,Pos,Fantasy_Pts
Devin Singletary,BUF 47 - NE 17,21,16,81,2,3,13,4,0,19,RB,25.400000000000002
Jerick McKinnon,KC 42 - PIT 21,20,12,61,0,6,81,6,1,19,RB,27.2
Elijah Mitchell,SF 23 - DAL 17,15,27,96,1,1,-11,2,0,19,RB,16.5
Giovani Bernard,TB 31 - PHI 15,13,13,44,1,5,39,7,0,19,RB,20.299999999999997
Josh Jacobs,CIN 26 - LV 19,12,13,83,0,4,44,5,0,19,RB,17.700000000000003
Ke'Shawn Vaughn,TB 31 - PHI 15,11,17,53,1,2,9,2,0,19,RB,15.200000000000001
Kenneth Gainwell,TB 31 - PHI 15,10,1,6,0,5,49,5,1,19,RB,17.5
Cam Akers,LAR 34 - ARI 11,9,17,55,0,1,40,2,0,19,RB,11.5
Boston Scott,TB 31 - PHI 15,9,1,34,1,1,1,1,0,19,RB,11.5
James Conner,LAR 34 - ARI 11,7,4,19,1,1,5,2,0,19,RB,10.4
Joe Mixon,CIN 26 - LV 19,6,17,48,0,4,28,5,0,19,RB,12.600000000000001
Sony Michel,LAR 34 - ARI 11,5,13,58,0,0,0,0,0,19,RB,6.8
Rhamondre Stevenson,BUF 47 - NE 17,5,8,27,0,4,33,4,0,19,RB,11.0
Damien Harris,BUF 47 - NE 17,3,9,30,0,1,7,1,0,19,RB,5.7
Ezekiel Elliott,SF 23 - DAL 17,3,12,31,0,1,0,4,0,19,RB,5.1
Brandon Bolden,BUF 47 - NE 17,2,0,0,0,4,27,6,0,19,RB,7.7
Chase Edmonds,LAR 34 - ARI 11,2,8,28,0,0,0,1,0,19,RB,3.8
Eno Benjamin,LAR 34 - ARI 11,2,4,8,0,2,26,2,0,19,RB,6.4
Miles Sanders,TB 31 - PHI 15,2,7,16,0,3,12,3,0,19,RB,6.8
Tony Pollard,SF 23 - DAL 17,2,4,14,0,2,12,2,0,19,RB,5.6000000000000005
Benny Snell,KC 42 - PIT 21,2,2,15,0,2,16,2,0,19,RB,6.1
Kalen Ballage,KC 42 - PIT 21,1,4,13,0,0,0,0,0,19,RB,2.3
Taiwan Jones,BUF 47 - NE 17,0,0,0,0,0,0,0,0,19,RB,1.0
Peyton Barber,CIN 26 - LV 19,0,0,0,0,0,0,0,0,19,RB,1.0
Chris Evans,CIN 26 - LV 19,0,1,9,0,0,0,0,0,19,RB,1.9
Jalen Richard,CIN 26 - LV 19,0,0,0,0,1,4,2,0,19,RB,2.4
Jordan Howard,TB 31 - PHI 15,0,0,0,0,1,7,1,0,19,RB,2.7
Zack Moss,BUF 47 - NE 17,0,1,0,0,0,0,0,0,19,RB,1.0
Jakob Johnson,BUF 47 - NE 17,0,0,0,0,0,0,1,0,19,RB,1.0
JaMycal Hasty,SF 23 - DAL 17,0,0,0,0,0,0,0,0,19,RB,1.0
Derrick Gore,KC 42 - PIT 21,0,3,3,0,0,0,0,0,19,RB,1.3
Darrel Williams,KC 42 - PIT 21,0,1,4,0,0,0,0,0,19,RB,1.4
Najee Harris,KC 42 - PIT 21,0,12,29,0,2,-1,2,0,19,RB,5.800000000000001
Jake Funk,LAR 34 - ARI 11,0,2,5,0,0,0,0,0,19,RB,1.5
Samaje Perine,CIN 26 - LV 19,0,1,2,0,0,0,0,0,19,RB,1.2
Devin Singletary,BUF 47 - NE 17,21,16,81,2,3,13,4,0,19,RB,25.400000000000002
Jerick McKinnon,KC 42 - PIT 21,20,12,61,0,6,81,6,1,19,RB,27.2
Elijah Mitchell,SF 23 - DAL 17,15,27,96,1,1,-11,2,0,19,RB,16.5
Giovani Bernard,TB 31 - PHI 15,13,13,44,1,5,39,7,0,19,RB,20.299999999999997
Josh Jacobs,CIN 26 - LV 19,12,13,83,0,4,44,5,0,19,RB,17.700000000000003
Ke'Shawn Vaughn,TB 31 - PHI 15,11,17,53,1,2,9,2,0,19,RB,15.200000000000001
Kenneth Gainwell,TB 31 - PHI 15,10,1,6,0,5,49,5,1,19,RB,17.5
Cam Akers,LAR 34 - ARI 11,9,17,55,0,1,40,2,0,19,RB,11.5
Boston Scott,TB 31 - PHI 15,9,1,34,1,1,1,1,0,19,RB,11.5
James Conner,LAR 34 - ARI 11,7,4,19,1,1,5,2,0,19,RB,10.4
Joe Mixon,CIN 26 - LV 19,6,17,48,0,4,28,5,0,19,RB,12.600000000000001
Sony Michel,LAR 34 - ARI 11,5,13,58,0,0,0,0,0,19,RB,6.8
Rhamondre Stevenson,BUF 47 - NE 17,5,8,27,0,4,33,4,0,19,RB,11.0
Damien Harris,BUF 47 - NE 17,3,9,30,0,1,7,1,0,19,RB,5.7
Ezekiel Elliott,SF 23 - DAL 17,3,12,31,0,1,0,4,0,19,RB,5.1
Brandon Bolden,BUF 47 - NE 17,2,0,0,0,4,27,6,0,19,RB,7.7
Chase Edmonds,LAR 34 - ARI 11,2,8,28,0,0,0,1,0,19,RB,3.8
Eno Benjamin,LAR 34 - ARI 11,2,4,8,0,2,26,2,0,19,RB,6.4
Miles Sanders,TB 31 - PHI 15,2,7,16,0,3,12,3,0,19,RB,6.8
Tony Pollard,SF 23 - DAL 17,2,4,14,0,2,12,2,0,19,RB,5.6000000000000005
Benny Snell,KC 42 - PIT 21,2,2,15,0,2,16,2,0,19,RB,6.1
Kalen Ballage,KC 42 - PIT 21,1,4,13,0,0,0,0,0,19,RB,2.3
Taiwan Jones,BUF 47 - NE 17,0,0,0,0,0,0,0,0,19,RB,1.0
Peyton Barber,CIN 26 - LV 19,0,0,0,0,0,0,0,0,19,RB,1.0
Chris Evans,CIN 26 - LV 19,0,1,9,0,0,0,0,0,19,RB,1.9
Jalen Richard,CIN 26 - LV 19,0,0,0,0,1,4,2,0,19,RB,2.4
Jordan Howard,TB 31 - PHI 15,0,0,0,0,1,7,1,0,19,RB,2.7
Zack Moss,BUF 47 - NE 17,0,1,0,0,0,0,0,0,19,RB,1.0
Jakob Johnson,BUF 47 - NE 17,0,0,0,0,0,0,1,0,19,RB,1.0
JaMycal Hasty,SF 23 - DAL 17,0,0,0,0,0,0,0,0,19,RB,1.0
Derrick Gore,KC 42 - PIT 21,0,3,3,0,0,0,0,0,19,RB,1.3
Darrel Williams,KC 42 - PIT 21,0,1,4,0,0,0,0,0,19,RB,1.4
Najee Harris,KC 42 - PIT 21,0,12,29,0,2,-1,2,0,19,RB,5.800000000000001
Jake Funk,LAR 34 - ARI 11,0,2,5,0,0,0,0,0,19,RB,1.5
Samaje Perine,CIN 26 - LV 19,0,1,2,0,0,0,0,0,19,RB,1.2
Leonard Fournette,LAR 30 - TB 27,31,13,51,2,9,56,9,0,20,RB,32.7
Aaron Jones,SF 13 - GB 10,25,12,41,0,9,129,10,0,20,RB,27.0
Joe Mixon,CIN 19 - TEN 16,22,14,54,1,6,51,7,0,20,RB,23.5
Devin Singletary,KC 42 - BUF 36,14,10,26,1,4,25,5,0,20,RB,16.1
Derrick Henry,CIN 19 - TEN 16,12,20,62,1,0,0,0,0,20,RB,13.2
Jerick McKinnon,KC 42 - BUF 36,12,10,24,0,5,54,7,0,20,RB,13.8
Elijah Mitchell,SF 13 - GB 10,9,17,53,0,3,18,4,0,20,RB,11.100000000000001
A.J. Dillon,SF 13 - GB 10,8,7,25,1,0,0,0,0,20,RB,9.5
Clyde Edwards-Helaire,KC 42 - BUF 36,7,7,60,0,1,9,2,0,20,RB,8.9
D'Onta Foreman,CIN 19 - TEN 16,6,4,66,0,0,0,0,0,20,RB,7.6
Cam Akers,LAR 30 - TB 27,5,24,48,0,3,20,3,0,20,RB,10.8
Dontrell Hilliard,CIN 19 - TEN 16,4,0,0,0,3,13,3,0,20,RB,5.3
Sony Michel,LAR 30 - TB 27,2,1,4,0,2,-4,2,0,20,RB,3.0
Samaje Perine,CIN 19 - TEN 16,1,0,0,0,1,4,2,0,20,RB,2.4
Khari Blasingame,CIN 19 - TEN 16,0,0,0,0,0,0,1,0,20,RB,1.0
Taiwan Jones,KC 42 - BUF 36,0,0,0,0,0,0,0,0,20,RB,1.0
Chris Evans,CIN 19 - TEN 16,0,1,4,0,0,0,0,0,20,RB,1.4
Giovani Bernard,LAR 30 - TB 27,0,0,0,0,0,0,1,0,20,RB,1.0
JaMycal Hasty,SF 13 - GB 10,0,0,0,0,0,0,0,0,20,RB,1.0
Samaje Perine,CIN 27 - KC 24,13,0,0,0,3,43,4,1,21,RB,14.3
Jerick McKinnon,CIN 27 - KC 24,12,12,65,0,3,30,4,0,21,RB,13.5
Elijah Mitchell,LAR 20 - SF 17,10,11,20,0,3,50,3,0,21,RB,11.0
Cam Akers,LAR 20 - SF 17,5,13,48,0,1,2,1,0,21,RB,7.0
Clyde Edwards-Helaire,CIN 27 - KC 24,4,6,36,0,1,4,2,0,21,RB,6.0
Sony Michel,LAR 20 - SF 17,2,10,16,0,1,-4,2,0,21,RB,3.2
JaMycal Hasty,LAR 20 - SF 17,1,0,0,0,1,6,3,0,21,RB,2.6
Trey Sermon,LAR 20 - SF 17,0,0,0,0,0,0,0,0,21,RB,1.0
Buddy Howell,LAR 20 - SF 17,0,0,0,0,0,0,0,0,21,RB,1.0
Chris Evans,CIN 27 - KC 24,0,0,0,0,0,0,0,0,21,RB,1.0
Joe Mixon,LAR 23 - CIN 20,18,15,72,0,5,1,6,0,23,RB,13.299999999999999
Darrell Henderson,LAR 23 - CIN 20,7,4,7,0,3,43,5,0,23,RB,9.0
Cam Akers,LAR 23 - CIN 20,6,13,21,0,3,14,4,0,23,RB,7.5
Chris Evans,LAR 23 - CIN 20,1,0,0,0,1,3,2,0,23,RB,2.3
Sony Michel,LAR 23 - CIN 20,0,2,2,0,0,0,0,0,23,RB,1.2
Buddy Howell,LAR 23 - CIN 20,0,0,0,0,0,0,0,0,23,RB,1.0
Samaje Perine,LAR 23 - CIN 20,0,2,0,0,0,0,1,0,23,RB,1.0
