Away,Home,Result,Week
Dallas,Tampa Bay,TB 31 - DAL 29,1
Arizona,Tennessee,ARI 38 - TEN 13,1
Jacksonville,Houston,HOU 37 - JAC 21,1
L.A. Chargers,Washington,LAC 20 - WAS 16,1
Minnesota,Cincinnati,CIN 27 - MIN 24 / OT,1
N.Y. Jets,Carolina,CAR 19 - NYJ 14,1
Philadelphia,Atlanta,PHI 32 - ATL 6,1
Pittsburgh,Buffalo,PIT 23 - BUF 16,1
Seattle,Indianapolis,SEA 28 - IND 16,1
San Francisco,Detroit,SF 41 - DET 33,1
Cleveland,Kansas City,KC 33 - CLE 29,1
Denver,N.Y. Giants,DEN 27 - NYG 13,1
Green Bay,New Orleans,NO 38 - GB 3,1
Miami,New England,MIA 17 - NE 16,1
Chicago,L.A. Rams,LAR 34 - CHI 14,1
Baltimore,Las Vegas,LV 33 - BAL 27 / OT,1
N.Y. Giants,Washington,WAS 30 - NYG 29,2
Buffalo,Miami,BUF 35 - MIA 0,2
Cincinnati,Chicago,CHI 20 - CIN 17,2
Denver,Jacksonville,DEN 23 - JAC 13,2
Houston,Cleveland,CLE 31 - HOU 21,2
L.A. Rams,Indianapolis,LAR 27 - IND 24,2
Las Vegas,Pittsburgh,LV 26 - PIT 17,2
New England,N.Y. Jets,NE 25 - NYJ 6,2
New Orleans,Carolina,CAR 26 - NO 7,2
San Francisco,Philadelphia,SF 17 - PHI 11,2
Atlanta,Tampa Bay,TB 48 - ATL 25,2
Minnesota,Arizona,ARI 34 - MIN 33,2
Dallas,L.A. Chargers,DAL 20 - LAC 17,2
Tennessee,Seattle,TEN 33 - SEA 30 / OT,2
Kansas City,Baltimore,BAL 36 - KC 35,2
Detroit,Green Bay,GB 35 - DET 17,2
Carolina,Houston,CAR 24 - HOU 9,3
Arizona,Jacksonville,ARI 31 - JAC 19,3
Atlanta,N.Y. Giants,ATL 17 - NYG 14,3
Baltimore,Detroit,BAL 19 - DET 17,3
Chicago,Cleveland,CLE 26 - CHI 6,3
Cincinnati,Pittsburgh,CIN 24 - PIT 10,3
Indianapolis,Tennessee,TEN 25 - IND 16,3
L.A. Chargers,Kansas City,LAC 30 - KC 24,3
New Orleans,New England,NO 28 - NE 13,3
Washington,Buffalo,BUF 43 - WAS 21,3
Miami,Las Vegas,LV 31 - MIA 28 / OT,3
N.Y. Jets,Denver,DEN 26 - NYJ 0,3
Seattle,Minnesota,MIN 30 - SEA 17,3
Tampa Bay,L.A. Rams,LAR 34 - TB 24,3
Green Bay,San Francisco,GB 30 - SF 28,3
Philadelphia,Dallas,DAL 41 - PHI 21,3
Jacksonville,Cincinnati,CIN 24 - JAC 21,4
Carolina,Dallas,DAL 36 - CAR 28,4
Cleveland,Minnesota,CLE 14 - MIN 7,4
Detroit,Chicago,CHI 24 - DET 14,4
Houston,Buffalo,BUF 40 - HOU 0,4
Indianapolis,Miami,IND 27 - MIA 17,4
Kansas City,Philadelphia,KC 42 - PHI 30,4
N.Y. Giants,New Orleans,NYG 27 - NO 21 / OT,4
Tennessee,N.Y. Jets,NYJ 27 - TEN 24 / OT,4
Washington,Atlanta,WAS 34 - ATL 30,4
Arizona,L.A. Rams,ARI 37 - LAR 20,4
Seattle,San Francisco,SEA 28 - SF 21,4
Baltimore,Denver,BAL 23 - DEN 7,4
Pittsburgh,Green Bay,GB 27 - PIT 17,4
Tampa Bay,New England,TB 19 - NE 17,4
Las Vegas,L.A. Chargers,LAC 28 - LV 14,4
L.A. Rams,Seattle,LAR 26 - SEA 17,5
N.Y. Jets,Atlanta,ATL 27 - NYJ 20,5
Denver,Pittsburgh,PIT 27 - DEN 19,5
Detroit,Minnesota,MIN 19 - DET 17,5
Green Bay,Cincinnati,GB 25 - CIN 22 / OT,5
Miami,Tampa Bay,TB 45 - MIA 17,5
New England,Houston,NE 25 - HOU 22,5
New Orleans,Washington,NO 33 - WAS 22,5
Philadelphia,Carolina,PHI 21 - CAR 18,5
Tennessee,Jacksonville,TEN 37 - JAC 19,5
Chicago,Las Vegas,CHI 20 - LV 9,5
Cleveland,L.A. Chargers,LAC 47 - CLE 42,5
N.Y. Giants,Dallas,DAL 44 - NYG 20,5
San Francisco,Arizona,ARI 17 - SF 10,5
Buffalo,Kansas City,BUF 38 - KC 20,5
Indianapolis,Baltimore,BAL 31 - IND 25 / OT,5
Tampa Bay,Philadelphia,TB 28 - PHI 22,6
Miami,Jacksonville,JAC 23 - MIA 20,6
Green Bay,Chicago,GB 24 - CHI 14,6
Cincinnati,Detroit,CIN 34 - DET 11,6
Houston,Indianapolis,IND 31 - HOU 3,6
Kansas City,Washington,KC 31 - WAS 13,6
L.A. Chargers,Baltimore,BAL 34 - LAC 6,6
L.A. Rams,N.Y. Giants,LAR 38 - NYG 11,6
Minnesota,Carolina,MIN 34 - CAR 28 / OT,6
Arizona,Cleveland,ARI 37 - CLE 14,6
Dallas,New England,DAL 35 - NE 29 / OT,6
Las Vegas,Denver,LV 34 - DEN 24,6
Seattle,Pittsburgh,PIT 23 - SEA 20 / OT,6
Buffalo,Tennessee,TEN 34 - BUF 31,6
Denver,Cleveland,CLE 17 - DEN 14,7
Atlanta,Miami,ATL 30 - MIA 28,7
Carolina,N.Y. Giants,NYG 25 - CAR 3,7
Cincinnati,Baltimore,CIN 41 - BAL 17,7
Kansas City,Tennessee,TEN 27 - KC 3,7
N.Y. Jets,New England,NE 54 - NYJ 13,7
Washington,Green Bay,GB 24 - WAS 10,7
Detroit,L.A. Rams,LAR 28 - DET 19,7
Philadelphia,Las Vegas,LV 33 - PHI 22,7
Chicago,Tampa Bay,TB 38 - CHI 3,7
Houston,Arizona,ARI 31 - HOU 5,7
Indianapolis,San Francisco,IND 30 - SF 18,7
New Orleans,Seattle,NO 13 - SEA 10,7
Green Bay,Arizona,GB 24 - ARI 21,8
Carolina,Atlanta,CAR 19 - ATL 13,8
Cincinnati,N.Y. Jets,NYJ 34 - CIN 31,8
L.A. Rams,Houston,LAR 38 - HOU 22,8
Miami,Buffalo,BUF 26 - MIA 11,8
Philadelphia,Detroit,PHI 44 - DET 6,8
Pittsburgh,Cleveland,PIT 15 - CLE 10,8
San Francisco,Chicago,SF 33 - CHI 22,8
Tennessee,Indianapolis,TEN 34 - IND 31 / OT,8
Jacksonville,Seattle,SEA 31 - JAC 7,8
New England,L.A. Chargers,NE 27 - LAC 24,8
Tampa Bay,New Orleans,NO 36 - TB 27,8
Washington,Denver,DEN 17 - WAS 10,8
Dallas,Minnesota,DAL 20 - MIN 16,8
N.Y. Giants,Kansas City,KC 20 - NYG 17,8
N.Y. Jets,Indianapolis,IND 45 - NYJ 30,9
Buffalo,Jacksonville,JAC 9 - BUF 6,9
Atlanta,New Orleans,ATL 27 - NO 25,9
Cleveland,Cincinnati,CLE 41 - CIN 16,9
Denver,Dallas,DEN 30 - DAL 16,9
Houston,Miami,MIA 17 - HOU 9,9
Las Vegas,N.Y. Giants,NYG 23 - LV 16,9
Minnesota,Baltimore,BAL 34 - MIN 31 / OT,9
New England,Carolina,NE 24 - CAR 6,9
L.A. Chargers,Philadelphia,LAC 27 - PHI 24,9
Arizona,San Francisco,ARI 31 - SF 17,9
Green Bay,Kansas City,KC 13 - GB 7,9
Tennessee,L.A. Rams,TEN 28 - LAR 16,9
Chicago,Pittsburgh,PIT 29 - CHI 27,9
Baltimore,Miami,MIA 22 - BAL 10,10
Atlanta,Dallas,DAL 43 - ATL 3,10
Buffalo,N.Y. Jets,BUF 45 - NYJ 17,10
Cleveland,New England,NE 45 - CLE 7,10
Detroit,Pittsburgh,DET 16 - PIT 16 / OT,10
Jacksonville,Indianapolis,IND 23 - JAC 17,10
New Orleans,Tennessee,TEN 23 - NO 21,10
Tampa Bay,Washington,WAS 29 - TB 19,10
Carolina,Arizona,CAR 34 - ARI 10,10
Minnesota,L.A. Chargers,MIN 27 - LAC 20,10
Philadelphia,Denver,PHI 30 - DEN 13,10
Seattle,Green Bay,GB 17 - SEA 0,10
Kansas City,Las Vegas,KC 41 - LV 14,10
L.A. Rams,San Francisco,SF 31 - LAR 10,10
New England,Atlanta,NE 25 - ATL 0,11
Detroit,Cleveland,CLE 13 - DET 10,11
Baltimore,Chicago,BAL 16 - CHI 13,11
Green Bay,Minnesota,MIN 34 - GB 31,11
Houston,Tennessee,HOU 22 - TEN 13,11
Indianapolis,Buffalo,IND 41 - BUF 15,11
Miami,N.Y. Jets,MIA 24 - NYJ 17,11
New Orleans,Philadelphia,PHI 40 - NO 29,11
San Francisco,Jacksonville,SF 30 - JAC 10,11
Washington,Carolina,WAS 27 - CAR 21,11
Cincinnati,Las Vegas,CIN 32 - LV 13,11
Arizona,Seattle,ARI 23 - SEA 13,11
Dallas,Kansas City,KC 19 - DAL 9,11
Pittsburgh,L.A. Chargers,LAC 41 - PIT 37,11
N.Y. Giants,Tampa Bay,TB 30 - NYG 10,11
Chicago,Detroit,CHI 16 - DET 14,12
Las Vegas,Dallas,LV 36 - DAL 33 / OT,12
Buffalo,New Orleans,BUF 31 - NO 6,12
Carolina,Miami,MIA 33 - CAR 10,12
Atlanta,Jacksonville,ATL 21 - JAC 14,12
N.Y. Jets,Houston,NYJ 21 - HOU 14,12
Philadelphia,N.Y. Giants,NYG 13 - PHI 7,12
Pittsburgh,Cincinnati,CIN 41 - PIT 10,12
Tampa Bay,Indianapolis,TB 38 - IND 31,12
Tennessee,New England,NE 36 - TEN 13,12
L.A. Chargers,Denver,DEN 28 - LAC 13,12
L.A. Rams,Green Bay,GB 36 - LAR 28,12
Minnesota,San Francisco,SF 34 - MIN 26,12
Cleveland,Baltimore,BAL 16 - CLE 10,12
Seattle,Washington,WAS 17 - SEA 15,12
Dallas,New Orleans,DAL 27 - NO 17,13
Arizona,Chicago,ARI 33 - CHI 22,13
Indianapolis,Houston,IND 31 - HOU 0,13
L.A. Chargers,Cincinnati,LAC 41 - CIN 22,13
Minnesota,Detroit,DET 29 - MIN 27,13
N.Y. Giants,Miami,MIA 20 - NYG 9,13
Philadelphia,N.Y. Jets,PHI 33 - NYJ 18,13
Tampa Bay,Atlanta,TB 30 - ATL 17,13
Jacksonville,L.A. Rams,LAR 37 - JAC 7,13
Washington,Las Vegas,WAS 17 - LV 15,13
Baltimore,Pittsburgh,PIT 20 - BAL 19,13
San Francisco,Seattle,SEA 30 - SF 23,13
Denver,Kansas City,KC 22 - DEN 9,13
New England,Buffalo,NE 14 - BUF 10,13
Pittsburgh,Minnesota,MIN 36 - PIT 28,14
Atlanta,Carolina,ATL 29 - CAR 21,14
Baltimore,Cleveland,CLE 24 - BAL 22,14
Dallas,Washington,DAL 27 - WAS 20,14
Jacksonville,Tennessee,TEN 20 - JAC 0,14
Las Vegas,Kansas City,KC 48 - LV 9,14
New Orleans,N.Y. Jets,NO 30 - NYJ 9,14
Seattle,Houston,SEA 33 - HOU 13,14
Detroit,Denver,DEN 38 - DET 10,14
N.Y. Giants,L.A. Chargers,LAC 37 - NYG 21,14
Buffalo,Tampa Bay,TB 33 - BUF 27 / OT,14
San Francisco,Cincinnati,SF 26 - CIN 23 / OT,14
Chicago,Green Bay,GB 45 - CHI 30,14
L.A. Rams,Arizona,LAR 30 - ARI 23,14
Kansas City,L.A. Chargers,KC 34 - LAC 28 / OT,15
New England,Indianapolis,IND 27 - NE 17,15
Arizona,Detroit,DET 30 - ARI 12,15
Carolina,Buffalo,BUF 31 - CAR 14,15
Dallas,N.Y. Giants,DAL 21 - NYG 6,15
Houston,Jacksonville,HOU 30 - JAC 16,15
N.Y. Jets,Miami,MIA 31 - NYJ 24,15
Tennessee,Pittsburgh,PIT 19 - TEN 13,15
Atlanta,San Francisco,SF 31 - ATL 13,15
Cincinnati,Denver,CIN 15 - DEN 10,15
Green Bay,Baltimore,GB 31 - BAL 30,15
New Orleans,Tampa Bay,NO 9 - TB 0,15
San Francisco,Tennessee,TEN 20 - SF 17,16
Cleveland,Green Bay,GB 24 - CLE 22,16
Indianapolis,Arizona,IND 22 - ARI 16,16
Buffalo,New England,BUF 33 - NE 21,16
Baltimore,Cincinnati,CIN 41 - BAL 21,16
Detroit,Atlanta,ATL 20 - DET 16,16
Jacksonville,N.Y. Jets,NYJ 26 - JAC 21,16
L.A. Chargers,Houston,HOU 41 - LAC 29,16
L.A. Rams,Minnesota,LAR 30 - MIN 23,16
N.Y. Giants,Philadelphia,PHI 34 - NYG 10,16
Tampa Bay,Carolina,TB 32 - CAR 6,16
Chicago,Seattle,CHI 25 - SEA 24,16
Denver,Las Vegas,LV 17 - DEN 13,16
Pittsburgh,Kansas City,KC 36 - PIT 10,16
Washington,Dallas,DAL 56 - WAS 14,16
Jacksonville,New England,NE 50 - JAC 10,16
Atlanta,Buffalo,BUF 29 - ATL 15,16
Kansas City,Cincinnati,CIN 34 - KC 31,16
L.A. Rams,Baltimore,LAR 20 - BAL 19,16
Las Vegas,Indianapolis,LV 23 - IND 20,16
Miami,Tennessee,TEN 34 - MIA 3,16
N.Y. Giants,Chicago,CHI 29 - NYG 3,16
Philadelphia,Washington,PHI 20 - WAS 16,16
Tampa Bay,N.Y. Jets,TB 28 - NYJ 24,16
Houston,San Francisco,SF 23 - HOU 7,16
Denver,L.A. Chargers,LAC 34 - DEN 13,16
Arizona,Dallas,ARI 25 - DAL 22,16
Carolina,New Orleans,NO 18 - CAR 10,16
Detroit,Seattle,SEA 51 - DET 29,16
Minnesota,Green Bay,GB 37 - MIN 10,16
Cleveland,Pittsburgh,PIT 26 - CLE 14,16
Jacksonville,New England,NE 50 - JAC 10,17
Atlanta,Buffalo,BUF 29 - ATL 15,17
Kansas City,Cincinnati,CIN 34 - KC 31,17
L.A. Rams,Baltimore,LAR 20 - BAL 19,17
Las Vegas,Indianapolis,LV 23 - IND 20,17
Miami,Tennessee,TEN 34 - MIA 3,17
N.Y. Giants,Chicago,CHI 29 - NYG 3,17
Philadelphia,Washington,PHI 20 - WAS 16,17
Tampa Bay,N.Y. Jets,TB 28 - NYJ 24,17
Houston,San Francisco,SF 23 - HOU 7,17
Denver,L.A. Chargers,LAC 34 - DEN 13,17
Arizona,Dallas,ARI 25 - DAL 22,17
Carolina,New Orleans,NO 18 - CAR 10,17
Detroit,Seattle,SEA 51 - DET 29,17
Minnesota,Green Bay,GB 37 - MIN 10,17
Cleveland,Pittsburgh,PIT 26 - CLE 14,17
Jacksonville,New England,NE 50 - JAC 10,17
Atlanta,Buffalo,BUF 29 - ATL 15,17
Kansas City,Cincinnati,CIN 34 - KC 31,17
L.A. Rams,Baltimore,LAR 20 - BAL 19,17
Las Vegas,Indianapolis,LV 23 - IND 20,17
Miami,Tennessee,TEN 34 - MIA 3,17
N.Y. Giants,Chicago,CHI 29 - NYG 3,17
Philadelphia,Washington,PHI 20 - WAS 16,17
Tampa Bay,N.Y. Jets,TB 28 - NYJ 24,17
Houston,San Francisco,SF 23 - HOU 7,17
Denver,L.A. Chargers,LAC 34 - DEN 13,17
Arizona,Dallas,ARI 25 - DAL 22,17
Carolina,New Orleans,NO 18 - CAR 10,17
Detroit,Seattle,SEA 51 - DET 29,17
Minnesota,Green Bay,GB 37 - MIN 10,17
Cleveland,Pittsburgh,PIT 26 - CLE 14,17
Jacksonville,New England,NE 50 - JAC 10,17
Atlanta,Buffalo,BUF 29 - ATL 15,17
Kansas City,Cincinnati,CIN 34 - KC 31,17
L.A. Rams,Baltimore,LAR 20 - BAL 19,17
Las Vegas,Indianapolis,LV 23 - IND 20,17
Miami,Tennessee,TEN 34 - MIA 3,17
N.Y. Giants,Chicago,CHI 29 - NYG 3,17
Philadelphia,Washington,PHI 20 - WAS 16,17
Tampa Bay,N.Y. Jets,TB 28 - NYJ 24,17
Houston,San Francisco,SF 23 - HOU 7,17
Denver,L.A. Chargers,LAC 34 - DEN 13,17
Arizona,Dallas,ARI 25 - DAL 22,17
Carolina,New Orleans,NO 18 - CAR 10,17
Detroit,Seattle,SEA 51 - DET 29,17
Minnesota,Green Bay,GB 37 - MIN 10,17
Cleveland,Pittsburgh,PIT 26 - CLE 14,17
